Model	Type	TrainingTrials	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3
M01	pair33sc	4000tt	12	P04	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P05	#161#340#506#512#	#48#545#581#	#100#126#138#579#	#290#299#401#568#	#203#254#361#443#	#191#210#288#413#428#	#
M01	pair33sc	4000tt	2	P05	#271#319#389#413#424#	#13#356#451#528#	#71#104#193#207#331#	#373#404#421#	#106#368#461#465#	#229#235#309#362#365#384#	#517#
M01	pair33sc	4000tt	3	P05	#340#369#449#	#78#342#	#57#156#331#	#400#420#622#	#228#552#	#210#258#285#313#368#419#	#271#467#
M01	pair33sc	4000tt	4	P05	#49#204#513#550#564#581#	#80#595#	#23#43#111#241#286#454#	#34#166#522#616#	#279#	#202#238#388#407#562#	#590#
M01	pair33sc	4000tt	5	P05	#44#189#302#324#486#507#582#589#	#11#36#103#108#117#136#487#585#	#162#209#258#263#387#524#	#7#89#	#179#377#597#	#87#229#288#464#	#
M01	pair33sc	4000tt	6	P05	#98#224#457#607#	#159#172#590#611#	#191#242#264#618#	#29#38#110#571#	#71#282#479#588#	#211#304#489#527#	#
M01	pair33sc	4000tt	7	P05	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P05	#	#	#	#	#	#187#279#404#441#554#	#
M01	pair33sc	4000tt	9	P05	#444#470#487#	#	#	#	#	#116#138#205#261#	#
M01	pair33sc	4000tt	10	P05	#	#	#	#	#	#334#386#	#424#
M01	pair33sc	4000tt	11	P05	#	#	#	#	#	#365#370#412#462#513#	#
M01	pair33sc	4000tt	12	P05	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P06	#31#83#431#461#	#24#307#540#547#	#219#264#296#584#	#310#352#367#537#	#88#198#404#419#	#80#205#373#595#	#
M01	pair33sc	4000tt	2	P06	#11#336#390#478#	#16#151#299#328#350#513#545#568#	#53#148#188#220#267#272#276#	#425#436#559#	#243#325#346#532#	#6#552#	#
M01	pair33sc	4000tt	3	P06	#240#333#426#468#556#559#562#	#38#81#145#322#395#405#501#517#595#	#119#132#161#250#273#295#353#598#	#252#351#	#330#	#5#73#152#	#
M01	pair33sc	4000tt	4	P06	#22#69#71#97#149#190#223#345#623#	#15#408#527#530#624#	#177#217#243#456#	#150#169#228#	#128#270#620#	#316#490#580#	#
M01	pair33sc	4000tt	5	P06	#490#	#196#435#562#	#21#95#122#272#	#9#65#97#144#223#594#	#1#4#46#49#75#131#145#148#248#	#53#440#457#467#	#
M01	pair33sc	4000tt	6	P06	#33#49#339#368#	#506#511#517#	#105#321#389#477#	#42#84#198#200#	#101#123#169#605#	#317#386#563#600#623#	#
M01	pair33sc	4000tt	7	P06	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P06	#	#	#	#	#	#428#	#
M01	pair33sc	4000tt	9	P06	#48#	#8#429#602#	#153#	#	#	#	#
M01	pair33sc	4000tt	10	P06	#370#	#6#600#	#248#	#	#	#	#
M01	pair33sc	4000tt	11	P06	#	#	#	#455#	#	#	#310#
M01	pair33sc	4000tt	12	P06	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P07	#135#165#255#322#	#20#56#232#511#	#251#334#376#420#	#118#153#313#380#	#186#566#586#623#	#5#113#124#442#	#
M01	pair33sc	4000tt	2	P07	#160#181#327#	#164#209#333#415#	#68#173#201#391#468#499#508#580#	#95#171#291#313#330#	#58#87#92#596#616#	#81#588#	#126#
