	Model	Type	TrainingTrials	Row	Area	AreaAbs	Pattern	CA
9369	M01	con50sc	4000tt	2	4	10	P27	#66#613#
9370	M01	con50sc	4000tt	2	5	11	P27	#119#210#
9371	M01	con50sc	4000tt	2	6	12	P27	#
9720	M01	con50sc	4000tt	1	1	1	P28	#23#519#620#
9721	M01	con50sc	4000tt	1	2	2	P28	#495#544#592#
9722	M01	con50sc	4000tt	1	3	3	P28	#565#
9723	M01	con50sc	4000tt	1	4	4	P28	#110#138#283#
9724	M01	con50sc	4000tt	1	5	5	P28	#240#
9725	M01	con50sc	4000tt	1	6	6	P28	#187#209#
9726	M01	con50sc	4000tt	2	1	7	P28	#
9727	M01	con50sc	4000tt	2	2	8	P28	#161#216#494#
9728	M01	con50sc	4000tt	2	3	9	P28	#34#90#135#284#
9729	M01	con50sc	4000tt	2	4	10	P28	#92#137#180#
9730	M01	con50sc	4000tt	2	5	11	P28	#18#62#136#
9731	M01	con50sc	4000tt	2	6	12	P28	#
10080	M01	con50sc	4000tt	1	1	1	P29	#386#
10081	M01	con50sc	4000tt	1	2	2	P29	#287#
10082	M01	con50sc	4000tt	1	3	3	P29	#81#86#126#128#147#151#206#223#253#323#351#
10083	M01	con50sc	4000tt	1	4	4	P29	#402#475#
10084	M01	con50sc	4000tt	1	5	5	P29	#418#
10085	M01	con50sc	4000tt	1	6	6	P29	#542#
10086	M01	con50sc	4000tt	2	1	7	P29	#
10087	M01	con50sc	4000tt	2	2	8	P29	#
10088	M01	con50sc	4000tt	2	3	9	P29	#405#
10089	M01	con50sc	4000tt	2	4	10	P29	#347#503#
10090	M01	con50sc	4000tt	2	5	11	P29	#
10091	M01	con50sc	4000tt	2	6	12	P29	#
10440	M01	con50sc	4000tt	1	1	1	P30	#277#408#469#
10441	M01	con50sc	4000tt	1	2	2	P30	#7#26#99#142#191#242#259#317#335#336#406#
10442	M01	con50sc	4000tt	1	3	3	P30	#454#
10443	M01	con50sc	4000tt	1	4	4	P30	#123#190#198#220#243#291#306#315#321#345#420#455#492#496#553#
10444	M01	con50sc	4000tt	1	5	5	P30	#447#
10445	M01	con50sc	4000tt	1	6	6	P30	#21#335#377#531#
10446	M01	con50sc	4000tt	2	1	7	P30	#
10447	M01	con50sc	4000tt	2	2	8	P30	#
10448	M01	con50sc	4000tt	2	3	9	P30	#510#599#
10449	M01	con50sc	4000tt	2	4	10	P30	#74#453#
10450	M01	con50sc	4000tt	2	5	11	P30	#
10451	M01	con50sc	4000tt	2	6	12	P30	#
10800	M01	pair33sc	4000tt	1	1	1	P01	#1#86#28#
10801	M01	pair33sc	4000tt	1	2	2	P01	#48#578#
10802	M01	pair33sc	4000tt	1	3	3	P01	#601#
10803	M01	pair33sc	4000tt	1	4	4	P01	#294#
10804	M01	pair33sc	4000tt	1	5	5	P01	#287#371#439#
10805	M01	pair33sc	4000tt	1	6	6	P01	#261#337#424#
10806	M01	pair33sc	4000tt	2	1	7	P01	#
10807	M01	pair33sc	4000tt	2	2	8	P01	#
10808	M01	pair33sc	4000tt	2	3	9	P01	#220#
10809	M01	pair33sc	4000tt	2	4	10	P01	#21#
10810	M01	pair33sc	4000tt	2	5	11	P01	#
10811	M01	pair33sc	4000tt	2	6	12	P01	#
11160	M01	pair33sc	4000tt	1	1	1	P02	#285#378#
11161	M01	pair33sc	4000tt	1	2	2	P02	#63#98#187#211#232#259#263#283#303#358#405#432#500#
11162	M01	pair33sc	4000tt	1	3	3	P02	#1#102#109#123#131#181#193#259#309#311#402#403#436#578#207#
11163	M01	pair33sc	4000tt	1	4	4	P02	#498#
11164	M01	pair33sc	4000tt	1	5	5	P02	#499#
11165	M01	pair33sc	4000tt	1	6	6	P02	#51#326#503#622#
11166	M01	pair33sc	4000tt	2	1	7	P02	#
11167	M01	pair33sc	4000tt	2	2	8	P02	#502#
11168	M01	pair33sc	4000tt	2	3	9	P02	#577#
11169	M01	pair33sc	4000tt	2	4	10	P02	#240#555#
11170	M01	pair33sc	4000tt	2	5	11	P02	#137#274#294#379#
11171	M01	pair33sc	4000tt	2	6	12	P02	#
11520	M01	pair33sc	4000tt	1	1	1	P03	#44#63#169#185#212#306#412#414#501#575#585#605#
11521	M01	pair33sc	4000tt	1	2	2	P03	#236#
11522	M01	pair33sc	4000tt	1	3	3	P03	#4#7#79#111#187#239#290#338#383#466#518#569#605#487#
11523	M01	pair33sc	4000tt	1	4	4	P03	#310#329#356#
11524	M01	pair33sc	4000tt	1	5	5	P03	#327#
11525	M01	pair33sc	4000tt	1	6	6	P03	#114#199#355#
11526	M01	pair33sc	4000tt	2	1	7	P03	#
11527	M01	pair33sc	4000tt	2	2	8	P03	#540#
11528	M01	pair33sc	4000tt	2	3	9	P03	#384#489#
11529	M01	pair33sc	4000tt	2	4	10	P03	#286#
11530	M01	pair33sc	4000tt	2	5	11	P03	#435#560#
11531	M01	pair33sc	4000tt	2	6	12	P03	#
11880	M01	pair33sc	4000tt	1	1	1	P04	#85#87#115#171#200#302#397#400#455#504#587#625#
11881	M01	pair33sc	4000tt	1	2	2	P04	#8#
11882	M01	pair33sc	4000tt	1	3	3	P04	#553#
11883	M01	pair33sc	4000tt	1	4	4	P04	#334#483#486#
11884	M01	pair33sc	4000tt	1	5	5	P04	#434#
11885	M01	pair33sc	4000tt	1	6	6	P04	#281#509#
11886	M01	pair33sc	4000tt	2	1	7	P04	#
11887	M01	pair33sc	4000tt	2	2	8	P04	#
11888	M01	pair33sc	4000tt	2	3	9	P04	#505#
11889	M01	pair33sc	4000tt	2	4	10	P04	#258#
11890	M01	pair33sc	4000tt	2	5	11	P04	#
11891	M01	pair33sc	4000tt	2	6	12	P04	#
12240	M01	pair33sc	4000tt	1	1	1	P05	#506#
12241	M01	pair33sc	4000tt	1	2	2	P05	#465#
12242	M01	pair33sc	4000tt	1	3	3	P05	#271#
12243	M01	pair33sc	4000tt	1	4	4	P05	#34#49#166#204#279#513#522#550#564#581#590#616#
12244	M01	pair33sc	4000tt	1	5	5	P05	#507#
12245	M01	pair33sc	4000tt	1	6	6	P05	#29#38#71#98#110#224#282#457#479#571#588#607#
12246	M01	pair33sc	4000tt	2	1	7	P05	#
12247	M01	pair33sc	4000tt	2	2	8	P05	#
12248	M01	pair33sc	4000tt	2	3	9	P05	#470#444#487#
12249	M01	pair33sc	4000tt	2	4	10	P05	#424#
12250	M01	pair33sc	4000tt	2	5	11	P05	#
12251	M01	pair33sc	4000tt	2	6	12	P05	#
12600	M01	pair33sc	4000tt	1	1	1	P06	#83#198#310#367#
12601	M01	pair33sc	4000tt	1	2	2	P06	#390#478#
12602	M01	pair33sc	4000tt	1	3	3	P06	#240#252#330#333#426#468#556#559#562#
12603	M01	pair33sc	4000tt	1	4	4	P06	#223#228#
